id,content,date,language,tags,title,ratings,sentiment,offerings,destinations,norm_user_rating,user_rating,categorized_rating
377380-203590496913,nice place,2021-04-11T06:45:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Green Mountain Resort,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Taif'],100,5,positive
377380-203585070111,جميل جدا,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Prince Hussam Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Al Baha'],100,5,positive
377380-203591489376,منتزه واسع جميل جدا,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",King Abdullah Park,"{'normalized': 80, 'raw': 4}",positive,"['Tourism Attractions/ Sites', 'Accommodation', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh', 'Riyadh']",80,4,positive
377380-203588221890,رايع جدا نظافة وترتيب,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bjunepd3oq1r125cg', 'sentiment': None}, {'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Faisaliah garden,"{'normalized': 100, 'raw': 5}",positive,"['Food & Beverage', 'Tourism Attractions/ Sites']","['Taif', 'Taif']",100,5,positive
377380-203587646029,سوق رائع وتاريخي,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqvf8cu1i938rekgn0', 'sentiment': None}]",Souq Al Zel,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Retail']","['Madinah', 'Riyadh']",100,5,positive
377380-203587519982,مكان جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",12 Springs of Prophet Moses (A.S.),"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Tabuk'],100,5,positive
377380-203587199266,قريه تراثيه جميله,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Ushaiqer Heritage Village,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Madinah', 'Riyadh']",100,5,positive
377380-203587819837,مكان جميل ورائع,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",The Saudi National Museum - The Saudi National Museum,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Madinah'],100,5,positive
377380-203586635853,المكان روووعه,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 100, 'raw': 5}",positive,"['Tourism Attractions/ Sites', 'Tourism Attractions/ Sites']","['Khobar', 'Dammam']",100,5,positive
377380-203583057888,جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al Ahsa National Park,"{'normalized': 100, 'raw': 5}",positive,['Tourism Attractions/ Sites'],['Al Ahsa'],100,5,positive
